element_id,cx_mm,cy_mm,sigma_x_MPa,sigma_y_MPa,tau_xy_MPa,von_mises_MPa
0,61.0,1.0,-0.0029915842997741597,-0.0030048262748387077,0.005488249492429195,0.00958128679129525
1,63.0,1.0,-0.00980466122637868,0.0016989797361845718,0.005829690059995454,0.014277053548625528
2,65.0,1.0,-0.007294403272512174,0.004051042540282835,-0.002288341771761396,0.010614596330762645
3,67.0,1.0,0.013182847864036127,0.004731625626544767,-0.01362310069195958,0.02496339559811924
4,69.0,1.0,0.0550212127397915,0.004784389602225414,-0.0257228807910554,0.06341034608522902
5,71.0,1.0,0.11899454445685517,0.004606728625159762,-0.03763157479498703,0.12113185609496498
6,73.0,1.0,0.20470033149293732,0.004359756830181714,-0.04900667510298762,0.19762456028360578
7,75.0,1.0,0.3112669613806904,0.004109233029298741,-0.059762604554094614,0.29232275832336224
8,77.0,1.0,0.4376935878154132,0.003882409605683451,-0.0699233641253752,0.4044891948699647
9,79.0,1.0,0.583012467232435,0.0036901910727058507,-0.07955943721809629,0.5333560136185216
10,81.0,1.0,0.7463659904745034,0.0035366389930857195,-0.08876028984169843,0.6782152382336825
11,83.0,1.0,0.9270432775059567,0.003423290300949705,-0.0976229366548279,0.8384669613103579
12,85.0,1.0,1.1244987900679726,0.0033512349125909835,-0.10624816611579316,1.0136452662968545
13,87.0,1.0,1.338364574650492,0.003322177988011238,-0.11474061178320255,1.2034345883055309
14,89.0,1.0,1.5684624032405572,0.003339046760665987,-0.12321090267834442,1.4076837401542421
15,91.0,1.0,1.814819456192606,0.0034064215970250333,-0.13177911468839273,1.6264218103978447
16,93.0,1.0,2.077690001221904,0.0035309503216968685,-0.14057927287697095,1.8598786649072168
17,95.0,1.0,2.357585154913159,0.003721855956561937,-0.1497649819569825,2.1085122252612507
18,97.0,1.0,2.6553129919701566,0.003991637506175927,-0.15951651652369914,2.37304473095289
19,99.0,1.0,2.972031892463078,0.0043570792308887385,-0.17004995983918153,2.6545106831158756
20,101.0,1.0,3.3093211048187094,0.004840725915754351,-0.18162930097163538,2.954320105445953
21,103.0,1.0,3.6692741663264075,0.0054730587023571475,-0.19458285545957849,3.2743422342206516
22,105.0,1.0,4.054623293072001,0.006295738333421341,-0.20932606521004843,3.617016966058623
23,107.0,1.0,4.468906517861954,0.0073665084517615664,-0.22639382383798284,3.9855047033388407
24,109.0,1.0,4.916694861913463,0.008766745010319488,-0.24648724741062814,4.3838902326102716
